chr	start	end	CpG	test1_DMRfinder-N	test1_DMRfinder-X	test2_DMRfinder-N	test2_DMRfinder-X	test3_DMRfinder-N	test3_DMRfinder-X	test4_DMRfinder-N	test4_DMRfinder-X	control1_DMRfinder-N	control1_DMRfinder-X	control2_DMRfinder-N	control2_DMRfinder-X	control3_DMRfinder-N	control3_DMRfinder-X	control4_DMRfinder-N	control4_DMRfinder-X
chr21	45913700	45913855	6	135	79	NA	NA	NA	NA	25	11	95	36	120	69	60	32	485	237
chr21	45918970	45919281	15	NA	NA	420	244	78	50	578	274	626	271	326	192	36	21	606	293
chr21	45919560	45919823	16	510	234	173	81	535	282	40	20	223	110	343	161	637	349	225	95
chr21	45919835	45920091	10	470	226	715	277	151	72	70	38	380	234	97	60	455	226	573	327
chr21	45922550	45922996	21	1019	483	658	289	935	370	809	398	1047	371	519	229	810	328	319	102
chr21	45923007	45923415	18	420	149	623	188	438	147	395	150	948	352	588	227	695	318	477	208
chr21	45923468	45923895	21	338	154	471	192	604	315	306	140	422	154	655	311	87	17	1023	448
chr21	45923941	45924361	14	578	282	430	169	470	188	612	216	577	251	144	51	440	276	569	220
chr21	45924643	45924863	8	93	52	61	33	230	121	338	134	1014	458	405	205	30	15	43	24
chr21	45926607	45927060	25	1386	738	944	452	1080	541	1027	424	595	320	671	362	720	288	181	100
chr21	45927791	45927822	3	32	13	NA	NA	44	29	276	160	101	42	66	36	24	12	39	15
chr21	45927993	45928088	8	177	105	148	77	136	50	303	160	300	140	285	142	170	86	68	36
chr21	45930136	45930522	20	752	239	549	227	517	234	663	309	758	296	658	319	235	91	698	318
chr21	45930528	45930912	27	970	463	373	174	988	461	830	440	487	188	1234	613	691	314	439	214
chr21	45931645	45931878	7	225	89	199	68	157	63	59	15	96	50	371	181	98	33	330	154
chr21	45932709	45932797	3	NA	NA	69	21	315	118	NA	NA	24	5	NA	NA	75	27	54	14
chr21	45933028	45933168	5	96	46	404	291	116	68	104	59	24	7	632	421	268	170	104	56
chr21	45933491	45933599	5	357	168	258	136	347	107	258	32	87	37	217	78	197	45	283	137
chr21	45933785	45933890	4	NA	NA	206	88	132	63	60	35	101	69	87	57	268	138	96	56
chr21	45935284	45935444	6	35	9	40	14	65	28	90	29	90	25	25	16	20	10	85	28
chr21	45938832	45939004	8	245	89	63	24	364	227	35	21	133	59	714	445	NA	NA	266	140
chr21	45940407	45940470	6	60	19	NA	NA	162	67	132	53	54	19	78	46	192	89	312	163
chr21	45941079	45941455	17	965	449	446	171	182	78	348	188	659	323	503	266	282	135	423	177
chr21	45941766	45941909	8	371	191	NA	NA	119	61	189	102	63	25	238	144	NA	NA	NA	NA
chr21	45942369	45942583	7	187	97	217	107	103	47	319	173	426	176	263	126	152	71	318	204
chr21	45945541	45945602	5	287	154	47	24	165	79	335	173	NA	NA	50	26	30	10	107	30
chr21	45945739	45945899	10	416	230	165	68	623	238	121	61	NA	NA	68	30	167	77	184	99
chr21	45948315	45948385	4	124	69	100	29	64	21	76	33	192	67	60	29	308	117	20	5
chr21	45948954	45948994	4	420	90	140	39	40	24	NA	NA	80	35	176	78	520	197	52	27
chr21	45949808	45949928	6	425	267	305	132	45	29	75	52	25	12	20	10	135	85	125	49
chr21	45951621	45951726	5	108	60	96	55	32	12	124	68	88	45	52	31	NA	NA	124	38
chr21	45953576	45953660	7	441	207	455	205	42	19	126	49	42	24	147	39	231	114	91	39
chr21	45956080	45956145	5	25	13	60	28	90	30	105	55	110	40	45	15	395	120	390	168
chr21	45957835	45957982	8	77	43	301	130	84	39	126	50	238	119	161	89	70	43	NA	NA
chr21	45958548	45958666	3	68	26	30	16	32	5	74	52	64	41	116	59	NA	NA	NA	NA
chr21	45959194	45959380	13	260	122	550	175	400	125	401	119	411	198	190	87	112	32	290	121
chr21	45959773	45959917	5	208	70	40	15	132	56	188	92	104	35	212	138	NA	NA	136	87
chr21	45960364	45960539	7	60	28	168	101	NA	NA	36	6	540	261	472	228	NA	NA	402	225
chr21	45966378	45966506	4	90	57	123	59	363	233	45	22	45	20	NA	NA	213	119	NA	NA
chr21	45969926	45970065	4	33	18	126	75	450	172	276	148	141	99	27	17	45	27	195	113
chr21	45970403	45970549	5	77	52	91	36	195	19	124	62	65	23	233	85	28	14	278	88
chr21	45971521	45971728	7	171	106	406	151	103	26	54	26	289	130	158	60	58	31	232	90
chr21	45975982	45976042	6	79	45	NA	NA	192	109	62	32	58	39	603	347	203	108	138	86
chr21	45976183	45976297	4	80	44	184	73	72	40	NA	NA	86	47	384	254	79	46	72	35
chr21	45976937	45976995	4	41	17	58	20	79	32	123	58	33	12	252	138	149	90	198	76
chr21	45978026	45978167	6	165	97	200	116	100	44	215	94	NA	NA	110	46	255	115	NA	NA
chr21	45989115	45989248	14	692	360	477	199	167	57	205	73	596	180	194	79	999	447	380	199
chr21	45990067	45990185	4	138	53	66	20	93	27	NA	NA	84	27	72	25	111	23	90	54
chr21	45991743	45991834	5	50	2	124	53	NA	NA	483	226	144	67	45	18	70	32	219	112
chr21	45992075	45992181	6	NA	NA	60	34	310	142	95	51	230	149	105	44	135	73	120	53
chr21	45994282	45994408	4	21	9	156	91	171	116	48	29	57	36	NA	NA	81	38	NA	NA
chr21	45996052	45996125	4	144	36	124	39	108	34	36	7	84	36	28	5	308	106	112	36
chr21	45999694	45999835	7	NA	NA	810	487	42	20	126	72	78	35	198	68	108	54	282	146
chr21	46009650	46010013	10	384	167	243	112	435	228	314	167	244	104	261	149	97	31	93	34
chr21	46010585	46010725	3	NA	NA	126	35	NA	NA	94	45	NA	NA	26	18	90	40	NA	NA
chr21	46012454	46012777	14	337	121	320	117	332	175	789	227	176	83	840	356	313	113	341	145
chr21	46013748	46013864	3	30	12	184	106	46	29	296	104	NA	NA	30	19	NA	NA	60	15
chr21	46021183	46021420	6	833	368	44	12	246	140	39	11	32	9	39	24	156	64	419	195
chr21	46022436	46022612	9	29	13	424	160	204	104	180	99	284	135	617	188	105	27	385	186
chr21	46032601	46032854	11	208	46	210	109	22	2	474	126	568	272	280	114	316	202	150	42
chr21	46033319	46033437	3	32	12	148	93	20	12	44	24	36	17	76	42	NA	NA	82	37
chr21	46034296	46034483	7	294	159	66	39	306	128	48	29	162	57	648	221	89	41	264	110
chr21	46034933	46035069	6	50	20	20	6	70	32	175	108	65	29	760	415	80	34	340	129
chr21	46036642	46036747	8	182	81	NA	NA	35	21	602	334	91	46	35	18	35	23	28	14
chr21	46047204	46047501	11	118	82	232	124	88	50	282	146	410	244	312	186	52	30	94	29
chr21	46047738	46048232	21	704	285	220	93	976	411	349	162	1659	830	1065	432	539	212	423	192
chr21	46048470	46048609	3	NA	NA	NA	NA	234	93	82	22	42	21	NA	NA	44	23	NA	NA
chr21	46048867	46048895	3	116	60	23	13	41	17	NA	NA	NA	NA	181	81	103	58	23	13
chr21	46054983	46055187	7	158	87	25	16	274	148	250	101	31	12	370	133	62	27	156	71
chr21	46059256	46059412	8	52	20	438	171	93	40	84	38	104	25	275	111	64	35	177	67
chr21	46059536	46059688	5	253	97	67	21	70	17	97	33	200	102	102	49	167	87	150	56
chr21	46066491	46066635	6	145	77	207	86	207	85	67	41	175	96	NA	NA	447	297	55	31
chr21	46066749	46066806	3	145	40	73	38	173	57	109	8	NA	NA	NA	NA	185	86	104	48
chr21	46068709	46069046	16	55	26	60	26	165	98	710	290	89	57	235	104	597	302	439	237
chr21	46072061	46072311	13	312	144	489	267	1002	455	249	129	147	87	771	338	882	412	375	194
chr21	46073193	46073291	4	23	13	76	52	NA	NA	180	113	NA	NA	NA	NA	111	61	106	68
chr21	46080808	46081047	11	82	41	516	267	202	124	54	23	182	75	172	80	400	253	44	25
chr21	46104119	46104167	3	NA	NA	111	20	78	19	NA	NA	237	19	NA	NA	102	41	NA	NA
chr21	46106397	46106544	7	84	34	222	94	900	426	396	188	432	245	294	112	24	17	462	322
chr21	46107287	46107439	14	2132	1073	364	163	455	232	195	107	182	105	442	192	455	231	299	132
chr21	46107858	46107920	5	95	46	20	5	95	43	70	34	25	13	25	11	125	35	75	26
chr21	46108357	46108548	10	330	124	332	151	140	67	172	71	308	123	740	344	1128	446	32	9
chr21	46109011	46109139	5	36	11	104	52	332	191	48	29	NA	NA	NA	NA	196	47	244	117
chr21	46114777	46114818	3	75	40	45	8	NA	NA	105	47	48	6	45	7	165	60	39	16
chr21	46117247	46117391	6	135	79	NA	NA	650	282	105	47	75	34	95	35	NA	NA	95	63
chr21	46118062	46118188	4	81	33	306	106	NA	NA	60	38	66	20	87	37	27	20	357	161
chr21	46118629	46119005	10	344	185	366	149	211	120	474	185	278	140	186	102	302	134	407	254
chr21	46120443	46120524	5	160	64	100	41	120	17	615	218	20	7	335	123	65	24	215	84
chr21	46121697	46121748	4	56	21	416	220	64	27	72	24	124	45	200	81	24	13	80	35
chr21	46122178	46122226	5	245	127	45	17	385	132	130	52	100	37	65	33	340	146	50	21
chr21	46123381	46123590	5	52	36	285	87	22	9	61	33	199	50	241	87	54	34	286	125
chr21	46124750	46124843	8	125	71	143	65	155	73	129	85	819	350	73	39	414	215	205	91
chr21	46125349	46125496	4	54	16	90	64	140	75	186	87	60	35	108	76	130	36	88	35
chr21	46125888	46126157	12	1076	501	660	290	324	171	260	124	212	53	120	62	NA	NA	212	95
chr21	46126456	46126577	13	252	122	NA	NA	324	194	NA	NA	NA	NA	36	17	156	75	72	34
chr21	46128715	46128908	9	132	12	249	1	264	22	102	11	570	27	114	11	447	15	183	32
chr21	46130904	46131036	6	162	2	251	48	245	48	267	36	151	18	227	0	541	67	65	1
chr21	46131306	46131601	20	334	7	594	76	287	10	988	89	49	7	408	50	664	64	895	56
chr21	46131631	46131917	13	241	0	269	20	78	7	354	37	161	26	110	20	154	15	1178	94
chr21	46142264	46142489	6	75	0	123	49	87	4	345	28	84	12	33	13	264	0	276	0
chr21	46143226	46143350	7	66	6	NA	NA	102	17	264	68	456	77	378	0	162	20	78	2
chr21	46143489	46143566	10	80	53	370	252	660	395	100	61	290	22	980	74	150	17	20	0
chr21	46145595	46145637	3	243	97	330	168	75	36	186	53	183	113	207	87	102	30	180	92
chr21	46146852	46146931	3	279	132	108	59	39	18	120	72	NA	NA	33	18	30	10	159	81
chr21	46149403	46149530	5	36	33	60	45	NA	NA	136	108	76	45	64	43	68	45	64	44
chr21	46152992	46153032	3	NA	NA	72	42	162	35	123	71	NA	NA	54	31	NA	NA	27	12
chr21	46154122	46154251	4	183	121	60	43	324	281	84	43	42	33	NA	NA	NA	NA	105	75
chr21	46154818	46155049	9	615	296	265	136	631	385	316	175	55	22	532	301	91	18	374	156
chr21	46166494	46166697	5	68	45	68	58	32	19	NA	NA	388	321	220	149	36	25	NA	NA
chr21	46169202	46169394	8	43	25	288	194	74	56	358	253	163	113	68	32	138	74	228	182
chr21	46169880	46170174	25	749	416	434	254	763	483	579	337	1347	897	478	247	1627	1127	708	478
chr21	46170224	46170517	13	636	438	508	331	257	150	268	160	807	483	728	573	254	162	105	70
chr21	46171381	46171761	16	439	282	119	89	177	138	234	138	675	474	332	215	478	288	588	408
chr21	46172219	46172501	14	82	50	715	344	428	243	953	788	72	54	383	255	308	203	398	231
chr21	46174146	46174280	11	1280	932	530	400	600	438	320	283	NA	NA	470	374	460	314	250	216
chr21	46176959	46177066	3	114	72	92	86	44	24	NA	NA	58	56	NA	NA	90	61	NA	NA
chr21	46178110	46178174	4	NA	NA	304	178	276	185	104	70	20	11	NA	NA	112	81	744	517
chr21	46179329	46179512	7	165	118	54	37	249	173	150	88	132	96	57	39	129	76	107	68
chr21	46181809	46181997	6	400	364	250	185	35	25	55	53	55	42	34	29	350	325	160	130
chr21	46183559	46183854	6	28	12	324	275	334	177	62	32	156	73	122	76	276	138	182	50
chr21	46183923	46184199	6	48	12	362	160	232	100	62	31	164	69	128	60	172	79	166	71
chr21	46187808	46187983	7	NA	NA	96	84	342	270	24	20	186	147	78	63	390	371	444	405
chr21	46191236	46191347	7	306	192	24	15	252	237	NA	NA	348	245	72	51	30	28	72	62
chr21	46191993	46192094	7	102	86	42	34	36	31	660	507	126	109	264	193	114	103	84	70
chr21	46194880	46195082	6	125	104	350	271	130	87	210	167	30	22	240	187	70	50	190	145
chr21	46217353	46217486	10	270	232	252	215	414	380	162	139	NA	NA	279	249	63	54	909	742
chr21	46220908	46221091	12	319	275	66	53	1462	1138	66	53	693	540	98	74	187	148	187	139
chr21	46221395	46221630	16	161	151	147	136	1053	966	264	264	941	507	481	98	1600	455	932	421
chr21	46221649	46221900	25	174	172	79	71	739	698	451	354	1966	1711	1230	408	2237	1491	1975	1053
chr21	46222183	46222340	15	1204	1144	1344	1305	1708	1613	518	516	1036	938	2562	1836	854	334	1554	697
chr21	46222767	46223011	8	252	199	205	138	489	335	381	282	253	165	195	98	519	319	249	173
chr21	46226847	46226896	3	126	70	NA	NA	261	112	39	25	24	14	87	45	504	304	96	63
chr21	46228149	46228284	6	430	344	275	224	20	17	40	26	NA	NA	160	128	145	102	20	16
chr21	46232650	46232872	11	391	311	332	274	54	40	352	267	91	66	82	66	216	149	162	92
chr21	46234906	46234963	3	537	107	NA	NA	210	69	42	18	177	90	117	46	42	12	51	20
chr21	46235689	46235767	3	94	26	NA	NA	23	10	74	7	NA	NA	577	343	72	43	21	8
chr21	46237141	46237576	42	642	212	1542	409	607	196	989	247	680	186	966	236	1495	536	402	67
chr21	46237588	46238008	62	1096	350	2314	644	2913	1020	862	244	2394	675	1427	329	955	241	3196	891
chr21	46238024	46238437	54	617	201	1999	464	2114	629	1458	382	856	265	1996	499	2408	646	1037	304
chr21	46238454	46238888	41	866	321	1394	336	1019	251	1202	345	517	146	622	158	1015	359	1463	411
chr21	46240276	46240464	7	24	6	174	46	60	21	23	5	228	96	446	133	60	16	78	11
chr21	46244278	46244525	13	141	41	357	163	155	57	307	112	321	118	218	78	791	413	42	14
chr21	46244685	46244961	20	192	31	243	46	692	186	267	55	428	111	111	38	288	83	242	85
chr21	46252493	46252731	11	664	214	56	10	608	204	218	55	164	78	350	107	198	56	368	181
chr21	46253345	46253547	14	106	21	278	139	714	294	798	285	308	147	318	61	514	138	314	79
chr21	46254329	46254522	9	NA	NA	64	10	72	28	191	74	168	68	456	197	136	38	56	20
chr21	46255202	46255326	7	522	163	96	35	234	85	NA	NA	282	109	54	25	NA	NA	210	48
chr21	46256658	46256709	4	232	67	44	2	NA	NA	160	20	36	3	112	20	NA	NA	180	41
chr21	46256971	46257302	13	48	16	464	114	408	113	76	16	360	88	568	190	1408	465	492	210
chr21	46257579	46257648	3	NA	NA	93	16	117	46	45	5	24	9	216	111	51	8	33	12
chr21	46258006	46258200	7	372	133	246	67	270	110	96	28	804	250	NA	NA	NA	NA	438	141
chr21	46260646	46260804	5	161	55	116	23	306	31	139	15	209	42	272	20	318	134	40	12
chr21	46260910	46261032	5	568	85	180	24	129	25	22	5	51	8	38	10	243	86	225	46
chr21	46263882	46264089	13	249	109	310	72	429	178	333	117	311	83	96	29	680	237	24	8
chr21	46264799	46264863	8	135	51	282	84	67	25	179	57	607	153	966	350	NA	NA	425	163
chr21	46264989	46265064	8	167	27	396	106	287	85	121	35	171	53	195	50	192	49	121	40
chr21	46265703	46266102	24	858	223	597	203	805	294	236	54	1435	359	996	202	603	156	92	19
chr21	46271359	46271431	5	175	127	90	68	60	40	255	183	140	101	NA	NA	NA	NA	105	65
chr21	46273636	46273922	13	182	149	444	314	116	80	433	360	164	143	422	281	609	399	438	278
chr21	46278294	46278375	3	105	66	NA	NA	42	26	39	23	27	14	NA	NA	231	145	108	65
chr21	46280750	46281124	17	205	162	255	217	212	178	485	394	195	158	803	679	383	314	589	503
chr21	46281529	46281686	6	120	83	140	112	130	111	25	20	175	136	150	127	70	63	65	51
chr21	46283869	46283967	6	216	157	151	117	1088	834	140	123	74	59	25	21	151	102	610	474
chr21	46284719	46284869	6	295	276	NA	NA	260	177	NA	NA	90	84	35	31	55	49	75	55
chr21	46289957	46290049	4	NA	NA	215	175	27	16	228	205	62	56	NA	NA	166	137	21	11
chr21	46290177	46290312	8	187	107	226	128	52	37	275	206	91	59	NA	NA	91	65	288	161
chr21	46292587	46292672	4	28	2	184	1	NA	NA	NA	NA	360	0	136	1	NA	NA	NA	NA
chr21	46292943	46293123	21	512	1	841	64	1535	123	507	5	730	28	962	7	824	41	665	47
chr21	46293448	46293723	31	474	28	1433	53	660	53	1053	52	388	20	401	28	524	16	649	6
chr21	46293971	46294237	26	1472	74	333	4	245	12	657	28	968	27	257	4	594	5	487	31
chr21	46294258	46294516	24	267	3	627	30	394	28	598	37	276	5	70	3	146	7	905	37
chr21	46294806	46294985	10	NA	NA	108	5	1422	44	63	1	99	6	243	14	270	10	27	0
chr21	46299535	46299701	4	252	32	210	36	NA	NA	27	2	99	1	114	9	24	0	51	0
chr21	46306545	46306700	11	70	9	1440	448	230	34	260	55	140	128	170	145	270	243	220	205
chr21	46307086	46307266	5	178	129	187	163	332	303	45	40	441	342	115	102	60	46	35	26
chr21	46308333	46308586	11	532	422	156	108	250	199	873	745	218	149	30	27	282	271	709	568
chr21	46308599	46308859	18	106	89	1222	1022	528	417	94	85	203	156	340	286	1500	1200	38	29
chr21	46309143	46309494	24	932	670	823	627	1615	1274	700	422	401	287	852	661	1215	756	404	276
chr21	46309752	46310057	20	406	308	146	103	641	494	241	180	757	476	688	500	276	175	926	582
chr21	46311793	46311850	5	175	105	65	38	240	160	20	15	105	57	255	172	65	40	305	216
chr21	46314641	46314713	5	150	83	150	107	85	46	180	112	30	17	30	19	370	258	NA	NA
chr21	46316300	46316486	7	30	23	444	378	90	63	407	273	378	327	120	111	276	259	42	29
chr21	46316976	46317214	12	62	43	159	110	157	140	143	130	210	161	205	156	68	36	478	420
chr21	46317238	46317485	11	35	27	25	21	156	113	32	22	264	186	311	240	430	318	35	24
chr21	46317913	46318000	3	294	178	27	16	303	133	NA	NA	117	62	NA	NA	NA	NA	231	106
chr21	46320441	46320487	3	66	8	57	7	300	74	NA	NA	24	16	39	17	222	143	NA	NA
chr21	46321315	46321466	10	217	146	409	235	352	150	497	251	781	465	192	140	611	311	426	204
chr21	46323315	46323420	5	128	89	NA	NA	656	459	128	89	NA	NA	100	67	60	35	92	79
chr21	46326718	46327200	14	1131	272	608	85	530	80	156	21	65	14	381	41	162	33	505	83
chr21	46330245	46330302	4	24	0	20	4	152	1	188	20	244	19	NA	NA	NA	NA	180	9
chr21	46331567	46331774	10	42	6	30	6	626	130	606	129	818	97	180	24	346	82	352	102
chr21	46334374	46334485	6	605	118	NA	NA	300	65	35	15	40	9	20	6	30	3	25	8
chr21	46336504	46336707	7	969	160	297	84	63	19	141	39	422	100	25	2	90	14	828	247
chr21	46337809	46338309	15	252	63	425	135	326	43	260	47	111	14	610	103	295	36	405	93
chr21	46339373	46339686	14	277	67	117	23	271	52	1279	150	476	111	164	16	51	7	566	157
chr21	46340400	46340635	9	124	18	374	125	174	5	171	4	99	27	322	41	187	29	264	33
chr21	46341006	46341054	3	27	7	NA	NA	NA	NA	303	59	33	6	315	0	129	25	NA	NA
chr21	46346160	46346408	9	417	36	363	19	458	14	98	26	77	18	92	15	199	25	53	8
chr21	46348146	46348278	4	132	59	NA	NA	69	2	NA	NA	78	14	NA	NA	84	7	21	1
chr21	46349088	46349130	3	57	9	42	10	126	31	NA	NA	60	9	153	15	69	1	36	0
chr21	46351068	46351437	22	334	31	1363	230	519	42	266	61	574	46	316	65	1313	271	578	116
chr21	46351460	46351831	30	894	220	283	40	618	157	1066	123	1256	343	524	137	1814	244	1099	275
chr21	46351838	46352193	29	521	105	881	251	415	107	794	137	854	178	266	43	700	159	1633	398
chr21	46352255	46352602	38	1912	377	1591	244	259	53	436	84	740	159	1197	142	391	69	1865	331
chr21	46352705	46353035	28	218	45	991	171	271	78	920	253	917	256	548	125	1830	254	219	36
chr21	46353140	46353176	5	106	14	47	13	220	72	717	56	296	22	224	19	616	131	126	48
chr21	46353573	46353631	5	45	11	245	71	70	19	NA	NA	75	11	25	1	200	1	170	9
chr21	46353813	46353965	3	282	1	135	0	102	0	112	1	85	31	39	20	176	70	66	14
chr21	46359699	46359852	21	1106	778	1292	1018	808	654	667	448	44	2	330	6	460	34	635	27
chr21	46359966	46360408	47	1353	1000	946	682	856	658	1400	999	2650	151	766	23	786	14	874	34
chr21	46364325	46364392	4	640	462	288	202	224	156	48	36	168	122	156	113	84	61	44	30
chr21	46365858	46365944	4	124	92	76	46	32	22	NA	NA	56	39	72	37	104	74	48	34
chr21	46367783	46368060	14	361	300	175	168	152	116	593	477	522	478	166	152	299	259	453	316
chr21	46368335	46368666	10	517	405	119	84	224	130	296	268	177	161	98	84	119	72	97	71
chr21	46368793	46368952	6	215	168	72	69	104	101	81	71	308	299	137	118	124	120	329	328
chr21	46369186	46369500	14	993	70	783	92	169	6	464	71	231	178	420	230	264	172	456	385
chr21	46369712	46369906	8	186	184	179	163	125	108	344	308	137	120	97	84	214	210	460	452
chr21	46370443	46370597	7	230	194	131	129	61	53	58	53	101	95	127	101	215	138	299	292
chr21	46371581	46371701	10	252	215	207	197	117	105	261	251	234	205	NA	NA	243	229	315	291
chr21	46372124	46372239	8	156	138	389	319	295	244	133	111	253	211	99	89	519	446	236	180
chr21	46373153	46373361	7	222	189	30	30	954	915	401	381	324	283	234	186	42	36	84	81
chr21	46374123	46374526	19	147	129	1519	1477	167	134	465	434	1990	1901	647	603	133	114	136	113
chr21	46376481	46376812	18	412	359	480	463	630	585	141	117	449	338	348	327	481	461	580	502
chr21	46377067	46377464	13	456	425	152	134	200	179	656	632	223	211	67	61	276	258	537	475
chr21	46378306	46378563	16	579	409	235	153	244	130	695	574	1110	863	793	572	389	288	275	201
chr21	46379760	46379872	6	75	51	99	69	196	133	373	255	293	141	23	16	265	186	31	20
chr21	46385125	46385306	7	156	123	NA	NA	108	95	102	87	246	213	NA	NA	90	80	NA	NA
chr21	46386219	46386265	3	51	34	135	78	60	38	99	59	228	150	69	46	153	99	54	36
chr21	46386664	46386853	8	35	32	1162	1030	21	17	147	135	112	101	21	21	203	182	147	132
chr21	46387143	46387399	14	191	171	428	293	342	312	100	94	430	339	607	526	739	669	800	752
chr21	46388156	46388226	5	245	69	125	32	140	50	80	18	225	125	265	179	NA	NA	165	100
chr21	46389189	46389383	7	NA	NA	54	41	300	253	288	225	102	77	786	536	138	108	NA	NA
chr21	46391227	46391275	4	NA	NA	48	28	20	10	72	49	476	343	24	9	NA	NA	20	14
chr21	46391548	46391793	9	288	218	105	83	349	287	51	34	251	205	193	158	325	304	189	149
chr21	46392221	46392298	7	NA	NA	147	23	112	23	161	68	119	96	336	201	91	68	35	28
chr21	46395893	46396184	18	1126	737	311	193	21	16	774	515	932	730	274	211	187	122	779	518
chr21	46396451	46396777	17	305	171	237	140	247	152	228	127	775	457	520	338	766	495	414	190
chr21	46397330	46397503	7	222	149	336	297	372	185	534	360	54	34	NA	NA	150	96	126	103
chr21	46398120	46398181	7	49	34	21	12	42	19	28	13	91	67	497	283	28	22	231	113
chr21	46398771	46399004	11	398	283	88	65	410	289	124	71	576	448	280	190	144	79	456	292
chr21	46399280	46399402	13	1728	1346	396	316	312	229	240	172	228	149	48	34	72	44	240	145
chr21	46400362	46400614	13	585	366	276	179	236	166	240	141	87	59	550	374	285	218	532	313
chr21	46400636	46400887	12	921	573	439	236	265	112	240	122	289	162	832	472	156	60	475	194
chr21	46401195	46401436	8	265	101	190	77	312	162	141	56	240	130	482	142	181	86	534	241
chr21	46401469	46401719	18	156	112	252	189	514	433	286	170	738	529	677	482	417	280	859	618
chr21	46402860	46403073	15	518	298	363	180	253	148	1068	541	1017	560	346	194	577	339	1012	543
chr21	46403406	46403486	3	93	46	36	24	NA	NA	135	76	99	45	114	62	87	54	30	19
chr21	46404404	46404707	20	965	640	312	196	217	118	923	458	1042	675	626	341	769	496	1473	970
chr21	46404807	46405051	12	328	230	588	382	508	393	227	179	160	93	236	173	527	446	137	101
chr21	46405139	46405455	15	127	93	145	113	678	526	198	139	146	106	630	483	316	214	776	532
chr21	46406042	46406213	7	636	477	68	36	349	206	280	231	82	50	203	115	70	14	555	435
chr21	46406847	46407004	6	129	66	105	49	96	63	636	284	225	170	285	208	NA	NA	261	172
chr21	46407552	46407986	20	841	672	840	596	698	493	244	170	316	215	882	473	227	138	1529	975
chr21	46408724	46408971	9	167	108	43	31	257	136	545	257	228	189	193	162	168	121	53	31
chr21	46409982	46410180	9	159	58	78	27	189	75	225	102	174	78	243	85	66	28	564	225
chr21	46410852	46411136	12	713	356	80	45	257	128	392	215	473	232	473	225	548	265	299	110
chr21	46411667	46411728	4	179	71	99	48	219	106	640	344	435	206	NA	NA	134	75	293	106
chr21	46411886	46412238	20	1264	759	154	86	397	240	354	173	1408	898	1312	733	283	173	285	167
chr21	46417440	46417643	10	153	78	468	305	585	369	666	392	144	82	99	53	NA	NA	234	136
chr21	46417922	46418100	7	186	93	78	49	174	108	42	30	60	47	102	70	60	41	24	17
chr21	46418721	46419004	18	682	414	1132	574	326	156	557	302	427	257	329	201	818	436	393	242
chr21	46419409	46419887	15	143	75	384	226	272	150	496	266	165	86	467	228	100	37	310	171
chr21	46420447	46420913	29	464	296	321	187	964	530	1549	890	643	348	183	100	1834	1080	894	504
chr21	46421232	46421493	18	323	184	810	429	413	223	1138	604	717	434	225	121	230	124	430	246
chr21	46422340	46422526	8	20	11	336	186	21	6	98	57	175	116	49	34	419	250	28	21
chr21	46424402	46424580	10	262	102	143	65	230	99	36	11	262	94	351	167	158	88	308	160
chr21	46431972	46432037	5	775	385	40	17	30	12	320	156	355	189	155	66	140	72	355	180
chr21	46432372	46432469	4	NA	NA	35	14	33	17	NA	NA	103	58	172	101	NA	NA	52	29
chr21	46433195	46433431	7	176	89	187	110	213	106	115	67	125	56	142	88	127	68	154	70
chr21	46436172	46436248	4	24	11	68	38	20	7	36	17	96	30	356	169	128	53	68	35
chr21	46438286	46438743	57	1937	473	2478	782	1979	605	1247	352	1340	298	931	186	1365	169	1557	370
chr21	46438782	46439243	44	1737	406	2448	688	1740	414	1750	418	464	69	1288	230	2117	445	1387	234
chr21	46439457	46439611	7	630	478	NA	NA	336	258	NA	NA	480	388	258	153	48	33	66	49
chr21	46440335	46440497	5	NA	NA	NA	NA	196	109	380	206	92	29	152	88	44	27	256	151
chr21	46441828	46442033	10	164	103	38	21	73	36	680	480	662	461	568	377	435	277	201	104
chr21	46449958	46450253	12	345	240	320	220	135	108	170	106	125	90	55	40	220	177	365	262
chr21	46451951	46452104	7	48	40	216	124	132	90	156	123	120	87	408	305	42	34	240	174
chr21	46452399	46452744	16	678	489	740	567	423	290	610	386	457	317	1318	912	346	215	145	83
chr21	46452780	46453159	18	573	348	387	247	394	278	111	74	394	288	614	417	619	361	298	192
chr21	46453276	46453501	15	256	129	201	162	534	426	475	370	732	531	565	387	324	221	79	53
chr21	46454789	46454970	6	60	52	42	24	278	230	160	110	264	206	26	24	100	79	45	38
chr21	46460758	46460857	7	228	118	372	217	200	101	276	143	304	151	176	90	68	40	380	156
chr21	46461385	46461625	11	402	298	449	324	571	397	241	166	64	49	170	122	367	257	390	275
chr21	46472106	46472404	8	88	65	120	64	24	8	140	103	386	213	81	63	187	144	452	229
chr21	46474861	46475209	18	1053	824	75	46	414	303	585	361	258	162	297	210	487	292	436	297
chr21	46475222	46475573	17	310	187	308	114	599	339	754	480	448	257	337	188	567	291	482	299
chr21	46477006	46477140	4	63	60	114	94	NA	NA	108	74	24	17	27	15	NA	NA	NA	NA
chr21	46484695	46484850	6	NA	NA	280	170	70	45	240	183	120	73	205	150	110	65	45	31
chr21	46492208	46492225	3	NA	NA	NA	NA	45	41	27	10	28	19	222	195	NA	NA	NA	NA
